### Windows OS
Windows CE|Windows CE
Windows 95|Windows 95
Windows 98|Windows 98
Windows Me|Win 9x 4.90
Windows 2000|Windows NT 5.0,Windows NT 5.01
Windows XP|Windows NT 5.1,Windows NT 5.2
Windows Vista|Windows NT 6.0
Windows 7|Windows NT 6.1
Windows 8|Windows 8
Windows|Windows

### Mac OS
Macintosh|Macintosh,Intel Mac OS X

### linux OS
CentOS|Linux x86_64
Fedora|Fedora
FreeBSD|FreeBSD
Linux Mint|Linux Mint
OpenBSD|OpenBSD
Sun Solaris|SunOS,Solaris
Suse Linux|Suse,SUSE
Unix|Unix

### cellphone

# Android
Android OS 1|Android 1
Android OS 2|Android 2
Android OS 3|Android 3
Android OS 4|Android 4

# BlackBerry
BlackBerry|BlackBerry

# iPhone
iPhone iOS|CPU like Mac OS X
iPhone iOS2|iPhone; U; CPU iPhone OS 2
iPhone iOS3|iPhone; U; CPU iPhone OS 3
iPhone iOS4|iPhone; U; CPU iPhone OS 4
iPhone iOS5|iPhone; U; CPU iPhone OS 5,iPhone; CPU iPhone OS 5
# iPod
iPod|iPod;
# iPad
iPad iOS3|iPad; U; CPU OS 3
iPad iOS3|iPad; U; CPU OS 4
iPad iOS3|iPad; U; CPU OS 5

# Symbian
Symbian|Symbian

# Windows Phone
Windows Phone|Windows Phone

# etc
KDDI|KDDI
DoCoMo|DoCoMo
SoftBank|SoftBank
生きた化石|J|Phone,Vodafone,MOT

### gamings
Wii|Nintendo Wii
Game Boy|Nintendo GameBoy
Nintendo DS|Nitro
PlayStation|PlayStation,mamamama,gori
