abcsearch.com|abcsearch.com|terms
Alice|search.alice.it|qs
Alice|ricerca.alice.it|qs
Altavista|.altavista.com|q
Alexa|alexa.com|q
Alltheweb|alltheweb.com|q
Aol|search.aol.com|query
Aol|aolrecherches.aol.fr|query
Arianna|arianna.libero.it|query
Ask|ask.com|ask
Ask|ask.com|q

Babylon|babylon.com|q
Bing|bing.com|q

Clarence|search.clarence.com|q

DMOZ|search.dmoz.org|search
Dogpile|dogpile.com|q

Excite|excite.|q
ezweb|ezsch.ezweb.ne.jp|query

Sleipnir Search|fenrir-inc|q
Freenet.de|suche.freenet.de|query

Gazzetta|search.gazzetta.it|q
Godago|.godago.com|keywords
Google|www.google.|q
Google Groups|groups.google.|q
Google Images|images.google.|q

HotBot|hotbot.*|query

ICQ|search.icq.com|q
Il Trovatore|categorie.iltrovatore.it|query
Il Trovatore|search.iltrovatore.it|q
inbox|inbox.com|q
Incredimail|incredimail.com|q
ItaliaPuntoNet|italiapuntonet.net|search
ixquick|ixquick.com|query

Jumpy|servizi.mediaset.it|searchWord

Kataweb|kataweb.it|q

Lunascape Search|luna.tv|q
Lycos|cerca.lycos.it|query
Lycos|lycos.|q

Metacrawler|metacrawler.|q
MSN|msn.|q
My Search|mysearch.com|searchfor
My Way|mysearch.myway.com|searchfor

Netscape Search|search.netscape.com|query
@nifty @search|search.nifty.com|Text

Overture|overture.com|Keywords

PagineGialle|paginegialle.it|qs

楽天|websearch.rakuten|qt
Rambler|nova.rambler.ru/srch|query

Search|search.it|srctxt
Search|search.com|q
StartNow|search.startnow.|q
Supereva|supereva.it|q

Teoma|teoma.com|q
Tiscali|search-dyn.tiscali.|key

Virgilio|search.virgilio.it|qs
Voila|voila.fr|kw

Ware Bay|warebay.com/bot|
Web|web.de|su
Windows Live|search.live.com|q

Yahoo|search.yahoo.|p
Yandex|yandex.ru/yandsearch|text

100Links|100links.supereva.it|q
